name,smiles,BBB
sulphasalazine,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,0
moxalactam,COC1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)COC21,0
clioquinol,Oc1c(I)cc(Cl)c2cccnc12,0
bbcpd11 (cimetidine analog) (y-g13),CCNC(=NCCSCc1ncccc1Br)NC#N,0
schembl614298,CN1CC[C@]23c4c5ccc(OC6O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]6O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,0
"uk-240,455",CS(=O)(=O)N(CCO)c1c(Cl)c(Cl)cc2[nH]c(=O)c(=O)[nH]c12,0
morphine-6-glucuronide,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5,0
nitrofurantoin,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,0
"l-701,324",O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,0
33419-42-0,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,0
icotidine,COc1cccnc1CCCCNc1ncc(Cc2ccc(C)nc2)c(=O)[nH]1,0
ro 64-0802,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@@H]1NCOC,0
temelastine,Cc1ccc(Cc2cnc(NCCCCc3ncc(Br)cc3C)[nH]c2=O)cn1,0
"disodium;(6r,7s)-7-[[4-(2-amino-1-carboxylato-2-oxoethylidene)-1,3-dithietane-2-carbonyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",COC1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,0
cefotetan,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21,0
1848-75-5,c1ccc(NC2=NCCN2)cc1,0
"2-[4-(5-bromo-3-methylpyridin-2-yl)butylamino]-5-[(6-methylpyridin-3-yl)methyl]-1,3-diazinan-4-one",Cc1ccc(CC2CNC(NCCCCc3ncc(Br)cc3C)NC2=O)cn1,0
m2l-663581,CN1Cc2c(-c3noc(C(C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,0
ritonavir,CC(C)c1nc(CN(C)C(=O)N[C@@H](C)C(=O)C[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)cs1,0
bis-hydroxylated-l-663581,CN1Cc2c(-c3noc(C(C)(CO)CO)n3)ncn2-c2cccc(Cl)c2C1=O,0
,CN1Cc2c(-c3noc(C(C)(O)O)n3)ncn2-c2cccc(Cl)c2C1=O,0
,CN1Cc2c(-c3noc([C@](C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O,0
raloxifene,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0
telmesteine,CCOC(=O)N1CSCC1C(=O)O,0
chlorambucil,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,0
quercetin,O=C1c2c(O)cc(O)cc2CC(c2ccc(O)c(O)c2)C1O,0
sucrose,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0
flurbiprofen,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0
schembl18285121,C=CCc1cccc(/C=N\NC(=O)CN2CCN(Cc3ccc(S(N)(=O)=O)cc3)CC2)c1O,0
d-mannitol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0
mannitol (d-mannitol),OCC(O)C(O)C(O)C(O)CO,0
compound 34,CC(=O)Nc1cccc(-c2csc(N=C(N)N)n2)c1,0
y22,O=C(O)c1nc2ccc(C(F)(F)F)cc2nc1NCc1ccc(C(F)(F)F)cc1,0
l4,CC(=O)NC1C(O)OC(COS(=O)(=O)O)C(OC2OC(COS(=O)(=O)O)C(O)C(O)C2O)C1O,0
chebi: 145922,CN=C(NC#N)Nc1cccc(-c2csc(N=C(N)N)n2)c1,0
guanidinothiazol analogue 17 ac1lbibi -- pubmed,NC(N)=Nc1nc(-c2ccc(O)c(O)c2)cs1,0
cube-2,CC(C)CC(=O)c1ccc(OCCCCO)cc1O,0
cube-6,CC(C)CC(=O)c1ccc(OCCCCOc2ccc(CCC(=O)O)c(O)c2)cc1O,0
cube-10,CC(C)CC(=O)c1ccc(OCCCCOc2ccc3ccc(=O)oc3c2)cc1O,0
chembl151192,CCNc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,0
amethopterin,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0
rifampicin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C/C(C)=C\C=C\[C@@H](C)C(O)[C@@H](C)[C@H](O)[C@H](C)[C@H](OC(C)=O)[C@@H]1C,0
baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1,0
etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,0
methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0
imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0
.alpha.-d-ddc,Nc1ccn([C@@H]2CC[C@@H](CO)O2)c(=O)n1,0
"mdl 63,246",CN[C@H]1C(=O)N[C@@H]2Cc3ccc(cc3)Oc3cc4cc(c3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCCCC(C)C)Oc3ccc(cc3Cl)[C@@H](O)[C@@H]3NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@@H](NC2=O)c2cc(cc(O)c2Cl)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc(O)cc1[C@@H](C(=O)NCCCN(C)C)NC3=O,0
4-hydroxyalprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2O,0
etodolac,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0
atenolol,CC(C)NC(O)COc1ccc(CC(N)=O)cc1,0
cimetidine,CN=C(NC#N)NCCSCC1=NC=NC1C,0
cimetidine (y-g1),CN=C(NC#N)NCCSCc1nc[nH]c1C,0
biosone,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,0
vardenafil,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,0
151581-23-6,CCCn1c(=O)c2[nH]c(C3CCC(=O)C3)nc2n(CCC)c1=O,0
apaxifylline,CCCn1c(=O)c2[nH]c([C@H]3CCC(=O)C3)nc2n(CCC)c1=O,0
chembl12325,COC(=O)Nc1nc2ccc(C(=O)N3CCN(c4ccccn4)CC3)cc2[nH]1,0
sb 239063,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCC(O)CC2)n1,0
sbb079053,NCc1c[n+]2ccccc2[nH]1,0
4-aminobenzoic acid,Nc1ccc(C(=O)O)cc1,0
,CCOc1ccc(C(=O)c2cccc3ccccc23)c2ccccc12,0
"1,3-dimethyl-2-(2-methylphenylimino)imidazolidine",Cc1ccccc1N=C1N(C)CCN1C,0
tz-17,Cc1ccccc1NC1=NCCN1,0
