Descriptor_1,Descriptor_2,Pearson_Correlation,Abs_Correlation
ETA_Psi_1,ETA_dPsi_A,-0.9990263410780542,0.9990263410780542
topoRadius,SpMAD_D,0.994640306407191,0.994640306407191
apol,ATS0p,0.9863424721233056,0.9863424721233056
SpMax_D,WPATH,0.9774683258358958,0.9774683258358958
VR2_Dzv,VR2_Dzp,0.977144327285349,0.977144327285349
nddssS,minddssS,-0.9771436435292762,0.9771436435292762
VR1_DzZ,VR1_Dzv,0.9753515966473679,0.9753515966473679
SpMin5_Bhm,SpMin5_Bhv,0.9701005409256807,0.9701005409256807
SpMin8_Bhm,SpMin8_Bhv,0.9699783362659358,0.9699783362659358
SpMin7_Bhm,SpMin7_Bhv,0.9697793684429395,0.9697793684429395
SM1_Dze,nHBa,0.9696239695410661,0.9696239695410661
AATS0s,AATSC0s,0.9693517285636475,0.9693517285636475
AATSC6i,MATS6i,0.9676902154939722,0.9676902154939722
SpMin6_Bhm,SpMin6_Bhv,0.9676888732501128,0.9676888732501128
SpMin4_Bhm,SpMin4_Bhv,0.967010394113607,0.967010394113607
AATSC1i,MATS1i,0.9667263079823303,0.9667263079823303
VR2_DzZ,VR2_Dze,0.9665728353489121,0.9665728353489121
gmin,MAXDN,-0.9633485248710254,0.9633485248710254
SpMax6_Bhm,SpMax7_Bhm,0.9630983500202418,0.9630983500202418
SIC3,CIC3,-0.9626640037691565,0.9626640037691565
AATS0m,AATSC0m,0.9618171718722958,0.9618171718722958
SpMin3_Bhm,SpMin3_Bhv,0.9615586333709646,0.9615586333709646
SpMin4_Bhv,SpMin4_Bhe,0.9607990009737776,0.9607990009737776
SpMin7_Bhm,SpMin8_Bhm,0.9604623814064706,0.9604623814064706
AATSC6p,MATS6p,0.9585768531781026,0.9585768531781026
SIC4,CIC4,-0.958021326122547,0.958021326122547
nF8Ring,nF8HeteroRing,0.9575602992388254,0.9575602992388254
topoRadius,SpMax_D,0.9570470789553831,0.9570470789553831
ETA_Epsilon_2,ETA_Epsilon_4,0.9568711185084913,0.9568711185084913
minHdNH,mindNH,0.9567767647860757,0.9567767647860757
SpMin7_Bhv,SpMin8_Bhv,0.9566546180735476,0.9566546180735476
nBondsT,mintsC,0.9566211470758974,0.9566211470758974
SpMin6_Bhm,SpMin7_Bhm,0.9562667308258365,0.9562667308258365
SIC2,CIC2,-0.9558398936419624,0.9558398936419624
SpMax_D,SpMAD_D,0.9556805721505324,0.9556805721505324
AATSC1p,MATS1p,0.9555450505243572,0.9555450505243572
SpMax5_Bhm,SpMax6_Bhm,0.9554832801633059,0.9554832801633059
minHsNH2,minsNH2,0.955370720459644,0.955370720459644
ETA_AlphaP,ETA_dAlpha_B,-0.9547884089569686,0.9547884089569686
ATSC0e,SM1_Dze,0.9544560405085633,0.9544560405085633
nFRing,nFG12Ring,0.9541276017109374,0.9541276017109374
nHdNH,mindNH,0.9540714378276904,0.9540714378276904
AATS8v,AATS8p,0.9532576023732791,0.9532576023732791
AATS0v,AATS1v,0.9531948459232107,0.9531948459232107
nssssC,MDEC-34,0.9530659675042169,0.9530659675042169
VC-5,VPC-4,0.9515667786992145,0.9515667786992145
SpMin6_Bhm,SpMin7_Bhv,0.9507932425463131,0.9507932425463131
ndS,SdS,-0.9506576396488907,0.9506576396488907
SssssNp,minssssNp,0.9504931669459252,0.9504931669459252
AATS0e,ETA_Epsilon_4,0.9504452495198219,0.9504452495198219
AATS0e,AATS1e,0.950209924527102,0.950209924527102
SpMin6_Bhv,SpMin7_Bhv,0.9500515105498195,0.9500515105498195
SpMin5_Bhv,SpMin5_Bhe,0.9497237392227089,0.9497237392227089
ATS0s,ATSC0e,0.94908808783713,0.94908808783713
SIC3,CIC4,-0.9483066311603945,0.9483066311603945
VC-5,VC-6,0.9479052804471887,0.9479052804471887
AATSC1m,MATS1m,0.9475519647798649,0.9475519647798649
GGI2,GGI3,0.9474457164823437,0.9474457164823437
SpMin7_Bhm,SpMin8_Bhv,0.9474104987990362,0.9474104987990362
SpMax5_Bhm,SpMax5_Bhv,0.9469231000316382,0.9469231000316382
SpMax5_Bhs,SpMax6_Bhs,0.9467437835913999,0.9467437835913999
