Descriptor_1,Descriptor_2,Pearson_Correlation,Abs_Correlation
maxHsOH,minHsOH,0.8763908770457115,0.8763908770457115
TopoPSA,nHBd,0.808632884724954,0.808632884724954
TopoPSA,ATS0s,0.8062357104572129,0.8062357104572129
maxHsOH,SHsOH,0.7965937646984917,0.7965937646984917
maxHsOH,minsOH,0.7407024082974605,0.7407024082974605
SHsOH,nHBd,0.7376559731792619,0.7376559731792619
TopoPSA,maxHBint10,0.658437032003039,0.658437032003039
maxHBint8,TopoPSA,0.6543207152688268,0.6543207152688268
TopoPSA,maxHBint9,0.6380454567527939,0.6380454567527939
ATS0s,nHBd,0.631319725197393,0.631319725197393
maxHBint10,nHBd,0.6179953570422426,0.6179953570422426
TopoPSA,maxHBint6,0.6127908018149628,0.6127908018149628
minHsOH,SHsOH,0.6024125792093228,0.6024125792093228
minHsOH,minsOH,0.5949660463164875,0.5949660463164875
maxHBint5,TopoPSA,0.5892032100547366,0.5892032100547366
maxHBint8,nHBd,0.5866883743912338,0.5866883743912338
SHsOH,minsOH,0.5783006808162124,0.5783006808162124
maxHBint6,nHBd,0.575516016361345,0.575516016361345
maxHBint5,maxHBint8,0.5715570770552574,0.5715570770552574
nHBd,maxHBint7,0.5680650768296732,0.5680650768296732
TopoPSA,maxHBint7,0.5622533899639597,0.5622533899639597
TopoPSA,SHsOH,0.5593156290941695,0.5593156290941695
maxHBint10,ATS0s,0.5578862979422183,0.5578862979422183
maxHBint8,maxHBint7,0.5558855534490084,0.5558855534490084
maxHBint9,nHBd,0.552944233248578,0.552944233248578
maxHBint8,maxHBint9,0.5527212772424448,0.5527212772424448
SHsOH,maxHBint7,0.5459120380377268,0.5459120380377268
maxHBint5,nHBd,0.5435380318314708,0.5435380318314708
maxHBint9,maxHBint6,0.5425795827511218,0.5425795827511218
maxHBint9,maxHBint7,0.538219664345661,0.538219664345661
maxHBint8,ATS0s,0.5361542945125765,0.5361542945125765
maxHBint9,ATS0s,0.5319203447678039,0.5319203447678039
maxHBint5,SHsOH,0.5289450283374023,0.5289450283374023
maxHBint5,maxHBint2,0.5267984280753746,0.5267984280753746
maxHBint10,maxHBint7,0.5266071615735147,0.5266071615735147
maxHBint6,SHsOH,0.5242581360204386,0.5242581360204386
maxHBint8,maxHBint10,0.5240786650142994,0.5240786650142994
maxHBint8,maxHBint6,0.5186552600165346,0.5186552600165346
maxHBint9,maxHBint10,0.5170018336089651,0.5170018336089651
ATS0s,maxHBint7,0.5055196869945906,0.5055196869945906
maxHBint10,SHsOH,0.49926232734506776,0.49926232734506776
maxHsOH,maxHBint7,0.49675462558062716,0.49675462558062716
