model,feature,importance,source
RF,minwHBa,0.0052707276083389775,Native feature importance
RF,MLFER_S,0.005380132932408659,Native feature importance
RF,SpMax4_Bhs,0.00540770588592538,Native feature importance
RF,ETA_dEpsilon_D,0.00559714291117165,Native feature importance
RF,nHBint6,0.005623337730784637,Native feature importance
RF,SHsOH,0.006122366079058886,Native feature importance
RF,maxHBint6,0.006340263119282633,Native feature importance
RF,nHBint3,0.006906295616781482,Native feature importance
RF,maxHsOH,0.007746041985285476,Native feature importance
RF,SHBd,0.007907955358174623,Native feature importance
RF,SHBint8,0.008146540037485309,Native feature importance
RF,AATS5e,0.008393214595575236,Native feature importance
RF,AATS6e,0.008500556444325891,Native feature importance
RF,nHBd,0.008584725993142594,Native feature importance
RF,nHBint8,0.008747767315280548,Native feature importance
RF,nHBAcc,0.008935092846836933,Native feature importance
RF,MLFER_BH,0.008970820789778962,Native feature importance
RF,MDEO-11,0.009975957697440868,Native feature importance
RF,maxHBint8,0.011032005357733179,Native feature importance
RF,TopoPSA,0.01548898072142194,Native feature importance
ET,minHBint8,0.004151759257180802,Native feature importance
ET,SHBd,0.004297154171991554,Native feature importance
ET,maxHBd,0.004308844354336131,Native feature importance
ET,MDEO-11,0.004767904913166496,Native feature importance
ET,nO,0.004821307233646401,Native feature importance
ET,maxHBint7,0.004888049996753291,Native feature importance
ET,minsF,0.005004576664387085,Native feature importance
ET,nHBd,0.005008089726048806,Native feature importance
ET,minsOH,0.005463593039827173,Native feature importance
ET,SHsOH,0.005656146865514098,Native feature importance
ET,maxHBint6,0.005852363791489049,Native feature importance
ET,ATS0s,0.00613497230360295,Native feature importance
ET,maxHBint10,0.00638327675972361,Native feature importance
ET,maxHBint9,0.0067056315772121644,Native feature importance
ET,maxHBint2,0.008406070315703954,Native feature importance
ET,TopoPSA,0.009247189920063558,Native feature importance
ET,minHsOH,0.009275260765351479,Native feature importance
ET,maxHBint8,0.009677828519138126,Native feature importance
ET,maxHsOH,0.010197012811143743,Native feature importance
ET,maxHBint5,0.010806245648485481,Native feature importance
LGBM,BCUTw-1h,25.0,Native feature importance
LGBM,CrippenLogP,26.0,Native feature importance
LGBM,ATSC3i,26.0,Native feature importance
LGBM,R_TpiPCTPC,26.0,Native feature importance
LGBM,VE3_Dt,26.0,Native feature importance
LGBM,XLogP,27.0,Native feature importance
LGBM,ZMIC3,27.0,Native feature importance
LGBM,GATS3c,28.0,Native feature importance
LGBM,GATS5c,28.0,Native feature importance
LGBM,VE2_Dze,28.0,Native feature importance
LGBM,ATSC2m,28.0,Native feature importance
LGBM,GATS1e,29.0,Native feature importance
LGBM,MATS1c,29.0,Native feature importance
LGBM,MLFER_BH,29.0,Native feature importance
LGBM,SssssNp,31.0,Native feature importance
LGBM,MLFER_S,32.0,Native feature importance
LGBM,JGI4,32.0,Native feature importance
LGBM,nBondsD,34.0,Native feature importance
LGBM,AATS1i,40.0,Native feature importance
LGBM,TopoPSA,79.0,Native feature importance
XGB,ZMIC2,0.004040009342133999,Native feature importance
XGB,SHBint7,0.004082837142050266,Native feature importance
XGB,ETA_EtaP_F,0.004217518027871847,Native feature importance
XGB,VE3_Dzv,0.004238078836351633,Native feature importance
XGB,MDEC-12,0.004405063111335039,Native feature importance
XGB,AATS4v,0.004490532912313938,Native feature importance
XGB,nF12Ring,0.0054753925651311874,Native feature importance
XGB,minHBa,0.00575490714982152,Native feature importance
XGB,nF10Ring,0.0059276483952999115,Native feature importance
XGB,MDEO-11,0.006111617665737867,Native feature importance
XGB,ATSC4v,0.007010444533079863,Native feature importance
XGB,minHsOH,0.007066916674375534,Native feature importance
XGB,SHsOH,0.00717384135350585,Native feature importance
XGB,nBondsD,0.008276333101093769,Native feature importance
XGB,MDEC-44,0.008952231146395206,Native feature importance
XGB,n7Ring,0.009152204729616642,Native feature importance
XGB,maxHBint9,0.010339871980249882,Native feature importance
XGB,Kier2,0.011824975721538067,Native feature importance
XGB,SHBd,0.014923184178769588,Native feature importance
XGB,TopoPSA,0.04273393377661705,Native feature importance
KNN,minHdNH,0.001762632197414904,Fast permutation importance
KNN,MDEN-12,0.001762632197414904,Fast permutation importance
KNN,MDEN-11,0.001762632197414904,Fast permutation importance
KNN,n7Ring,0.001762632197414904,Fast permutation importance
KNN,SRW5,0.00235017626321965,Fast permutation importance
KNN,SaaS,0.002350176263219761,Fast permutation importance
KNN,nCl,0.002350176263219761,Fast permutation importance
KNN,nsOm,0.002350176263219761,Fast permutation importance
KNN,nsssN,0.002350176263219761,Fast permutation importance
KNN,nHBint4,0.002350176263219872,Fast permutation importance
KNN,nHsNH2,0.002350176263219872,Fast permutation importance
KNN,n7HeteroRing,0.002937720329024618,Fast permutation importance
KNN,MATS6i,0.003525264394829586,Fast permutation importance
