iter	Passed	Remaining
0	754	512195
1	1307	443368
2	1899	428756
3	2493	421458
4	3105	419217
5	3689	414499
6	4305	413906
7	4829	405671
8	5322	396797
9	5823	390203
10	6309	383737
11	6834	380453
12	7366	377973
13	7928	377192
14	8476	375808
15	9031	374803
16	9642	376068
17	10172	374107
18	10690	371917
19	11218	370210
20	11770	369364
21	12322	368554
22	12877	367849
23	13442	367439
24	13997	366723
25	14552	366053
26	15108	365409
27	15665	364787
28	16226	364246
29	16775	363461
30	17334	362904
31	17892	362325
32	18435	361455
33	18968	360407
34	19505	359453
35	20019	358118
36	20622	358385
37	21103	356544
38	21616	355288
39	22133	354136
40	22664	353230
41	23223	352769
42	23764	352049
43	24313	351441
44	24860	350805
45	25401	350101
46	25936	349309
47	26464	348450
48	27007	347788
49	27593	347680
50	28096	346521
51	28597	345366
52	29117	344460
53	29629	343484
54	30140	342501
55	30658	341619
56	31190	340902
57	31651	339431
58	32133	338223
59	32616	337041
60	33118	336072
61	33658	335496
62	34129	334248
63	34625	333267
64	35124	332335
65	35702	332137
66	36371	332772
67	36972	332755
68	37618	333114
69	38189	332792
70	38724	332159
71	39264	331565
72	39804	330976
73	40338	330339
74	40898	329912
75	41434	329293
76	41967	328657
77	42537	328303
78	43063	327613
79	43591	326938
80	44093	326074
81	44607	325310
82	45129	324606
83	45656	323942
84	46195	323369
85	46735	322803
86	47241	321999
87	47748	321219
88	48299	320729
89	48795	319881
90	49309	319155
91	49826	318453
92	50385	318024
93	50855	317032
94	51406	316557
95	51880	315604
96	52370	314764
97	52932	314355
98	53504	314000
99	53992	313158
100	54503	312452
101	55167	312614
102	55683	311933
103	56227	311415
104	56737	310702
105	57237	309946
106	57728	309143
107	58222	308361
108	58747	307748
109	59245	306997
110	59743	306254
111	60281	305713
112	60808	305119
113	61303	304364
114	61801	303633
115	62294	302879
116	62795	302168
117	63302	301492
118	63809	300817
119	64321	300168
120	64821	299463
121	65322	298767
122	65833	298124
123	66334	297435
124	66933	297184
125	67514	296850
126	68027	296215
127	68515	295473
128	69021	294813
129	69533	294181
130	70139	293943
131	70634	293239
132	71124	292517
133	71624	291841
134	72150	291275
135	72639	290559
136	73138	289883
137	73634	289202
138	74146	288584
139	74641	287903
140	75141	287244
141	75641	286586
142	76136	285911
143	76653	285320
144	77158	284689
145	77675	284101
146	78203	283552
