trial,seed,model,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,average_precision,mcc
1,42,ET,0.8589540412044374,0.8581892641981994,0.9359805510534847,0.8600148920327625,0.8563636363636363,0.8963911525029103,0.9089446964056048,0.9621884089782323,0.6827498673725682
1,42,KNN,0.8425779186476492,0.8348385568266432,0.9190056134723336,0.85331347728965,0.8163636363636364,0.8849420849420849,0.8868970419007649,0.9386476862579813,0.6412617301487976
1,42,LGBM,0.8483888008452193,0.8475225072767887,0.9306688417618271,0.849590469099032,0.8454545454545455,0.888283378746594,0.9056224192784131,0.9604952866752383,0.6605780392607167
1,42,LogReg,0.8161648177496038,0.8146131456034658,0.913549459684123,0.8183172002978406,0.8109090909090909,0.8633150039277298,0.8789318351045826,0.9462365639812634,0.5935657764947262
1,42,RF,0.8526148969889065,0.8537216543694578,0.9353518821603928,0.8510796723752793,0.8563636363636363,0.8912280701754386,0.9100453530088676,0.9638678913200884,0.6714507005322368
1,42,XGB,0.8547279450607501,0.8546740675556759,0.9348534201954397,0.8548026805658973,0.8545454545454545,0.8930377285103073,0.9060542882285251,0.9614317092014484,0.6746348566796013
2,101,ET,0.8573692551505546,0.8608298923712178,0.9408381265406738,0.8525688756515264,0.8690909090909091,0.89453125,0.9046876057672781,0.9593061377162775,0.6838064901296154
2,101,KNN,0.8425779186476492,0.8412800379069925,0.9272281275551921,0.8443782576321668,0.8381818181818181,0.8838659392049883,0.8833290462329926,0.9362990594592698,0.6480516239021706
2,101,LGBM,0.8520866349709456,0.8495918229201922,0.9303643724696357,0.8555472822040209,0.8436363636363636,0.891388673390225,0.9039328504704528,0.9591831578846788,0.6665982772138133
2,101,LogReg,0.803486529318542,0.7997732349556623,0.9042464612822648,0.8086373790022338,0.7909090909090909,0.8537735849056604,0.8706478034251676,0.9457286321300341,0.5652201687456774
2,101,RF,0.8557844690966719,0.8607865700940905,0.9421487603305785,0.8488458674609084,0.8727272727272727,0.8930669800235017,0.9059581669261491,0.9621407564322841,0.6821763715852565
2,101,XGB,0.8520866349709456,0.8554965139105124,0.9381698268755152,0.8473566641846612,0.8636363636363636,0.8904538341158059,0.9037284234752588,0.9601441805444836,0.6728214618248679
3,202,ET,0.8626518753301637,0.8667000609219522,0.9442165709598032,0.857036485480268,0.8763636363636363,0.8985167837626854,0.9167609828741624,0.9677492204726267,0.6953901388648334
3,202,KNN,0.8541996830427893,0.8602064577269343,0.9427385892116182,0.845867460908414,0.8745454545454545,0.8916797488226059,0.8919718405198673,0.9418649217774755,0.6800065542707787
3,202,LGBM,0.8615953512942419,0.8659554592838286,0.9441248972884141,0.8555472822040209,0.8763636363636363,0.89765625,0.9177946253299939,0.9668029184882254,0.6935199201822206
3,202,LogReg,0.808769149498151,0.8099377242266297,0.9132266217354675,0.8071481757259866,0.8127272727272727,0.8569169960474309,0.8792438908820145,0.9496603201265825,0.5819639414787688
3,202,RF,0.8526148969889065,0.8569423949096324,0.9396694214876034,0.8466120625465376,0.8672727272727273,0.8907168037602821,0.9155445745617005,0.9678253226306217,0.6749077931612096
3,202,XGB,0.8637083993660856,0.8712021931902796,0.9494614747307374,0.85331347728965,0.889090909090909,0.8988235294117647,0.9166296622216206,0.9661067900696624,0.7012036811340902
